06.12 14:48:02.989 | 信息 - 自选股：切换用户成功
06.26 20:38:52.467 | 信息 - 自选股：切换用户成功
06.26 20:40:31.993 | 信息 - 自选股：切换用户成功
06.27 09:16:43.138 | 信息 - 自选股：切换用户成功
06.27 15:06:32.586 | 信息 - 自选股：切换用户成功
06.27 20:12:27.808 | 信息 - 自选股：切换用户成功
06.28 09:13:35.094 | 信息 - 自选股：切换用户成功
06.28 15:13:41.663 | 信息 - 自选股：切换用户成功
06.28 20:10:43.670 | 信息 - 自选股：切换用户成功
06.29 15:00:54.827 | 信息 - 自选股：切换用户成功
06.29 16:04:03.503 | 信息 - 自选股：切换用户成功
06.30 09:04:57.557 | 信息 - 自选股：切换用户成功
06.30 15:02:10.462 | 信息 - 自选股：切换用户成功
06.30 22:48:38.266 | 信息 - 自选股：切换用户成功
07.01 09:14:42.039 | 信息 - 自选股：切换用户成功
07.04 09:14:30.656 | 信息 - 自选股：切换用户成功
07.04 21:25:34.015 | 信息 - 自选股：切换用户成功
07.05 09:12:58.313 | 信息 - 自选股：切换用户成功
07.05 15:00:10.043 | 信息 - 自选股：切换用户成功
07.06 09:12:50.385 | 信息 - 自选股：切换用户成功
07.06 09:37:48.261 | 信息 - 自选股：切换用户成功
07.06 14:57:23.142 | 信息 - 自选股：切换用户成功
07.07 08:55:52.248 | 信息 - 自选股：切换用户成功
07.07 14:58:52.475 | 信息 - 自选股：切换用户成功
07.08 09:07:06.508 | 信息 - 自选股：切换用户成功
07.08 15:04:13.193 | 信息 - 自选股：切换用户成功
07.11 09:01:56.223 | 信息 - 自选股：切换用户成功
07.12 09:18:45.286 | 信息 - 自选股：切换用户成功
07.13 09:15:07.512 | 信息 - 自选股：切换用户成功
07.13 10:04:35.227 | 信息 - 自选股：切换用户成功
07.14 09:09:55.838 | 信息 - 自选股：切换用户成功
07.14 09:14:06.688 | 信息 - 自选股：切换用户成功
07.14 09:15:11.647 | 信息 - 自选股：切换用户成功
07.14 09:27:12.638 | 信息 - 自选股：切换用户成功
07.15 09:09:18.766 | 信息 - 自选股：切换用户成功
07.18 09:06:18.307 | 信息 - 自选股：切换用户成功
07.19 09:11:01.726 | 信息 - 自选股：切换用户成功
07.20 09:03:00.246 | 信息 - 自选股：切换用户成功
07.21 09:18:54.113 | 信息 - 自选股：切换用户成功
07.21 09:20:10.799 | 信息 - 自选股：切换用户成功
07.21 09:21:03.402 | 信息 - 自选股：切换用户成功
07.22 09:07:09.611 | 信息 - 自选股：切换用户成功
07.22 13:00:33.267 | 信息 - 自选股：切换用户成功
07.25 09:07:55.037 | 信息 - 自选股：切换用户成功
07.26 09:06:47.788 | 信息 - 自选股：切换用户成功
07.27 09:12:10.986 | 信息 - 自选股：切换用户成功
07.28 09:15:17.370 | 信息 - 自选股：切换用户成功
07.28 09:17:13.517 | 信息 - 自选股：切换用户成功
07.28 09:18:15.797 | 信息 - 自选股：切换用户成功
07.29 09:22:25.156 | 信息 - 自选股：切换用户成功
07.31 22:16:03.860 | 信息 - 自选股：切换用户成功
07.31 22:59:27.871 | 信息 - 自选股：切换用户成功
07.31 23:08:05.185 | 信息 - 自选股：切换用户成功
08.01 09:17:02.208 | 信息 - 自选股：切换用户成功
08.01 09:18:09.073 | 信息 - 自选股：切换用户成功
08.01 09:20:09.646 | 信息 - 自选股：切换用户成功
08.01 09:22:47.870 | 信息 - 自选股：切换用户成功
08.01 09:26:57.087 | 信息 - 自选股：切换用户成功
08.02 09:10:51.182 | 信息 - 自选股：切换用户成功
08.02 15:00:02.141 | 信息 - 自选股：切换用户成功
08.03 09:09:20.306 | 信息 - 自选股：切换用户成功
08.04 09:24:01.682 | 信息 - 自选股：切换用户成功
08.04 09:27:09.912 | 信息 - 自选股：切换用户成功
08.04 09:28:46.183 | 信息 - 自选股：切换用户成功
08.05 09:06:10.159 | 信息 - 自选股：切换用户成功
08.05 16:29:25.312 | 信息 - 自选股：切换用户成功
08.08 09:22:11.120 | 信息 - 自选股：切换用户成功
08.09 09:07:02.513 | 信息 - 自选股：切换用户成功
08.10 09:25:58.756 | 信息 - 自选股：切换用户成功
08.11 09:21:15.432 | 信息 - 自选股：切换用户成功
08.12 09:09:17.712 | 信息 - 自选股：切换用户成功
08.14 22:05:46.888 | 信息 - 自选股：切换用户成功
08.15 09:14:27.893 | 信息 - 自选股：切换用户成功
08.16 09:21:11.590 | 信息 - 自选股：切换用户成功
08.16 09:22:17.966 | 信息 - 自选股：切换用户成功
08.16 09:23:05.996 | 信息 - 自选股：切换用户成功
08.16 09:24:09.841 | 信息 - 自选股：切换用户成功
08.16 09:25:20.621 | 信息 - 自选股：切换用户成功
08.16 22:35:31.823 | 信息 - 自选股：切换用户成功
08.17 09:17:36.723 | 信息 - 自选股：切换用户成功
08.17 09:18:22.369 | 信息 - 自选股：切换用户成功
08.17 09:19:07.339 | 信息 - 自选股：切换用户成功
08.17 09:19:55.326 | 信息 - 自选股：切换用户成功
08.17 21:42:41.323 | 信息 - 自选股：切换用户成功
08.18 09:23:56.307 | 信息 - 自选股：切换用户成功
08.18 22:10:52.472 | 信息 - 自选股：切换用户成功
08.19 09:07:06.278 | 信息 - 自选股：切换用户成功
08.21 20:42:15.950 | 信息 - 自选股：切换用户成功
08.22 09:23:18.286 | 信息 - 自选股：切换用户成功
08.22 09:24:24.107 | 信息 - 自选股：切换用户成功
08.22 09:24:47.257 | 信息 - 自选股：切换用户成功
08.22 09:27:00.188 | 信息 - 自选股：切换用户成功
08.22 22:05:06.363 | 信息 - 自选股：切换用户成功
08.23 09:17:46.065 | 信息 - 自选股：切换用户成功
08.23 09:19:19.481 | 信息 - 自选股：切换用户成功
08.23 09:19:47.203 | 信息 - 自选股：切换用户成功
08.23 09:20:03.365 | 信息 - 自选股：切换用户成功
08.23 09:23:05.358 | 信息 - 自选股：切换用户成功
08.24 09:06:06.283 | 信息 - 自选股：切换用户成功
08.25 09:14:00.697 | 信息 - 自选股：切换用户成功
08.25 09:15:27.407 | 信息 - 自选股：切换用户成功
08.25 09:16:40.703 | 信息 - 自选股：切换用户成功
08.26 09:14:22.615 | 信息 - 自选股：切换用户成功
08.26 09:18:57.483 | 信息 - 自选股：切换用户成功
08.26 09:23:45.167 | 信息 - 自选股：切换用户成功
08.29 09:17:26.528 | 信息 - 自选股：切换用户成功
08.29 09:19:52.920 | 信息 - 自选股：切换用户成功
08.30 09:05:03.670 | 信息 - 自选股：切换用户成功
08.31 09:15:23.467 | 信息 - 自选股：切换用户成功
08.31 09:26:03.669 | 信息 - 自选股：切换用户成功
09.01 09:18:58.777 | 信息 - 自选股：切换用户成功
09.02 09:10:07.397 | 信息 - 自选股：切换用户成功
09.04 22:41:10.408 | 信息 - 自选股：切换用户成功
09.05 09:19:47.283 | 信息 - 自选股：切换用户成功
09.07 09:14:52.451 | 信息 - 自选股：切换用户成功
09.07 09:32:23.983 | 信息 - 自选股：切换用户成功
09.07 10:39:42.022 | 信息 - 自选股：切换用户成功
09.08 09:19:58.487 | 信息 - 自选股：切换用户成功
09.09 09:10:52.241 | 信息 - 自选股：切换用户成功
09.12 08:59:45.461 | 信息 - 自选股：切换用户成功
09.12 09:27:24.715 | 信息 - 自选股：切换用户成功
09.13 09:19:34.884 | 信息 - 自选股：切换用户成功
12.12 09:28:50.532 | 信息 - 自选股：切换用户成功
12.12 10:34:33.047 | 信息 - 自选股：切换用户成功
12.23 09:30:57.917 | 信息 - 自选股：切换用户成功
12.28 09:28:04.441 | 信息 - 自选股：切换用户成功
01.02 21:53:12.301 | 信息 - 自选股：切换用户成功
01.02 22:10:23.907 | 信息 - 自选股：切换用户成功
02.19 10:19:37.937 | 信息 - 自选股：切换用户成功
02.19 10:21:43.222 | 信息 - 自选股：切换用户成功
02.19 16:28:51.506 | 信息 - 自选股：切换用户成功
02.20 19:18:12.954 | 信息 - 自选股：切换用户成功
02.21 09:34:23.140 | 信息 - 自选股：切换用户成功
02.21 19:00:16.855 | 信息 - 自选股：切换用户成功
02.22 09:14:11.525 | 信息 - 自选股：切换用户成功
02.22 09:34:02.035 | 信息 - 自选股：切换用户成功
02.22 19:00:20.783 | 信息 - 自选股：切换用户成功
02.23 09:18:33.668 | 信息 - 自选股：切换用户成功
02.24 09:14:00.988 | 信息 - 自选股：切换用户成功
02.24 09:19:33.403 | 信息 - 自选股：切换用户成功
02.24 09:29:10.958 | 信息 - 自选股：切换用户成功
02.24 19:00:16.041 | 信息 - 自选股：切换用户成功
02.28 09:21:25.748 | 信息 - 自选股：切换用户成功
02.28 10:33:08.033 | 信息 - 自选股：切换用户成功
03.01 13:00:48.918 | 信息 - 自选股：切换用户成功
03.01 19:00:14.422 | 信息 - 自选股：切换用户成功
03.02 09:33:19.500 | 信息 - 自选股：切换用户成功
03.06 13:31:56.242 | 信息 - 自选股：切换用户成功
03.06 19:00:24.044 | 信息 - 自选股：切换用户成功
03.07 09:34:54.443 | 信息 - 自选股：切换用户成功
03.17 09:42:19.440 | 信息 - 自选股：切换用户成功
03.20 10:32:24.726 | 信息 - 自选股：切换用户成功
03.22 09:41:02.242 | 信息 - 自选股：切换用户成功
03.23 09:48:48.537 | 信息 - 自选股：切换用户成功
03.24 13:27:32.811 | 信息 - 自选股：切换用户成功
03.27 09:05:13.791 | 信息 - 自选股：切换用户成功
03.27 09:17:04.079 | 信息 - 自选股：切换用户成功
03.27 09:21:59.710 | 信息 - 自选股：切换用户成功
03.28 09:41:12.310 | 信息 - 自选股：切换用户成功
03.29 09:26:00.241 | 信息 - 自选股：切换用户成功
03.29 19:00:15.041 | 信息 - 自选股：切换用户成功
03.29 20:05:58.071 | 信息 - 自选股：切换用户成功
03.30 09:23:28.349 | 信息 - 自选股：切换用户成功
03.30 09:33:37.059 | 信息 - 自选股：切换用户成功
03.31 13:43:59.812 | 信息 - 自选股：切换用户成功
03.31 19:00:13.838 | 信息 - 自选股：切换用户成功
04.05 09:43:05.808 | 信息 - 自选股：切换用户成功
04.06 09:23:47.455 | 信息 - 自选股：切换用户成功
04.06 09:25:32.219 | 信息 - 自选股：切换用户成功
04.07 09:37:21.186 | 信息 - 自选股：切换用户成功
04.10 09:23:54.882 | 信息 - 自选股：切换用户成功
04.10 09:34:00.426 | 信息 - 自选股：切换用户成功
04.11 09:29:11.300 | 信息 - 自选股：切换用户成功
04.12 09:39:26.811 | 信息 - 自选股：切换用户成功
04.13 09:29:39.933 | 信息 - 自选股：切换用户成功
04.14 09:28:12.961 | 信息 - 自选股：切换用户成功
05.19 09:11:45.731 | 信息 - 自选股：切换用户成功
05.19 09:15:50.925 | 信息 - 自选股：切换用户成功
05.22 09:09:23.266 | 信息 - 自选股：切换用户成功
05.22 09:17:06.240 | 信息 - 自选股：切换用户成功
05.23 09:24:27.776 | 信息 - 自选股：切换用户成功
05.23 09:24:46.014 | 信息 - 自选股：切换用户成功
05.23 09:25:01.475 | 信息 - 自选股：切换用户成功
05.23 09:25:13.783 | 信息 - 自选股：切换用户成功
05.24 09:40:31.598 | 信息 - 自选股：切换用户成功
05.25 09:23:16.047 | 信息 - 自选股：切换用户成功
05.25 09:23:40.058 | 信息 - 自选股：切换用户成功
05.25 09:24:29.978 | 信息 - 自选股：切换用户成功
05.25 09:31:06.807 | 信息 - 自选股：切换用户成功
05.26 09:14:55.065 | 信息 - 自选股：切换用户成功
05.26 09:16:57.194 | 信息 - 自选股：切换用户成功
05.31 09:25:47.782 | 信息 - 自选股：切换用户成功
05.31 17:56:45.595 | 信息 - 自选股：切换用户成功
05.31 19:38:54.731 | 信息 - 自选股：切换用户成功
06.01 09:24:03.907 | 信息 - 自选股：切换用户成功
06.02 09:22:52.911 | 信息 - 自选股：切换用户成功
06.02 09:23:11.120 | 信息 - 自选股：切换用户成功
06.02 09:23:25.631 | 信息 - 自选股：切换用户成功
06.02 09:23:45.562 | 信息 - 自选股：切换用户成功
06.02 09:24:53.729 | 信息 - 自选股：切换用户成功
06.02 09:25:49.106 | 信息 - 自选股：切换用户成功
06.05 09:22:18.055 | 信息 - 自选股：切换用户成功
06.05 09:22:40.872 | 信息 - 自选股：切换用户成功
06.05 09:24:48.852 | 信息 - 自选股：切换用户成功
06.05 09:25:38.871 | 信息 - 自选股：切换用户成功
06.06 09:24:46.580 | 信息 - 自选股：切换用户成功
06.07 09:21:44.119 | 信息 - 自选股：切换用户成功
06.08 09:24:13.579 | 信息 - 自选股：切换用户成功
06.08 09:24:54.175 | 信息 - 自选股：切换用户成功
06.08 09:25:13.299 | 信息 - 自选股：切换用户成功
06.08 09:26:31.846 | 信息 - 自选股：切换用户成功
06.08 19:00:31.039 | 信息 - 自选股：切换用户成功
06.09 09:11:42.937 | 信息 - 自选股：切换用户成功
06.09 09:29:06.250 | 信息 - 自选股：切换用户成功
06.12 09:19:30.934 | 信息 - 自选股：切换用户成功
06.13 09:26:38.662 | 信息 - 自选股：切换用户成功
06.13 13:37:07.622 | 信息 - 自选股：切换用户成功
06.14 09:08:35.452 | 信息 - 自选股：切换用户成功
06.14 09:25:09.420 | 信息 - 自选股：切换用户成功
06.15 09:15:16.767 | 信息 - 自选股：切换用户成功
06.16 09:24:14.038 | 信息 - 自选股：切换用户成功
06.16 09:24:53.383 | 信息 - 自选股：切换用户成功
06.16 09:26:39.486 | 信息 - 自选股：切换用户成功
06.19 09:19:55.779 | 信息 - 自选股：切换用户成功
06.20 09:20:39.096 | 信息 - 自选股：切换用户成功
06.21 09:16:20.361 | 信息 - 自选股：切换用户成功
06.21 09:17:08.658 | 信息 - 自选股：切换用户成功
06.22 09:17:47.391 | 信息 - 自选股：切换用户成功
06.23 09:25:51.500 | 信息 - 自选股：切换用户成功
06.27 09:15:04.331 | 信息 - 自选股：切换用户成功
06.27 09:42:47.115 | 信息 - 自选股：切换用户成功
06.29 09:31:36.800 | 信息 - 自选股：切换用户成功
06.30 09:26:21.950 | 信息 - 自选股：切换用户成功
07.03 09:29:08.018 | 信息 - 自选股：切换用户成功
07.04 09:19:24.592 | 信息 - 自选股：切换用户成功
07.06 09:26:19.073 | 信息 - 自选股：切换用户成功
07.07 09:27:18.048 | 信息 - 自选股：切换用户成功
07.10 09:27:23.365 | 信息 - 自选股：切换用户成功
07.19 09:30:47.027 | 信息 - 自选股：切换用户成功
07.21 09:30:22.714 | 信息 - 自选股：切换用户成功
07.24 10:18:03.734 | 信息 - 自选股：切换用户成功
07.25 09:27:48.689 | 信息 - 自选股：切换用户成功
07.26 09:31:30.067 | 信息 - 自选股：切换用户成功
07.27 09:30:07.575 | 信息 - 自选股：切换用户成功
07.28 09:15:07.094 | 信息 - 自选股：切换用户成功
07.28 09:15:52.131 | 信息 - 自选股：切换用户成功
08.01 09:27:15.478 | 信息 - 自选股：切换用户成功
08.02 09:27:25.625 | 信息 - 自选股：切换用户成功
08.03 09:46:02.958 | 信息 - 自选股：切换用户成功
08.04 09:33:47.792 | 信息 - 自选股：切换用户成功
08.07 09:21:45.980 | 信息 - 自选股：切换用户成功
08.07 09:22:05.368 | 信息 - 自选股：切换用户成功
08.07 09:22:43.126 | 信息 - 自选股：切换用户成功
08.07 09:29:51.676 | 信息 - 自选股：切换用户成功
08.09 09:28:52.488 | 信息 - 自选股：切换用户成功
08.10 13:47:23.128 | 信息 - 自选股：切换用户成功
08.11 13:03:08.164 | 信息 - 自选股：切换用户成功
08.14 09:38:10.283 | 信息 - 自选股：切换用户成功
08.15 09:21:10.689 | 信息 - 自选股：切换用户成功
08.15 09:33:40.159 | 信息 - 自选股：切换用户成功
08.16 09:27:06.425 | 信息 - 自选股：切换用户成功
08.17 09:38:43.141 | 信息 - 自选股：切换用户成功
08.18 09:27:11.999 | 信息 - 自选股：切换用户成功
08.18 19:00:42.138 | 信息 - 自选股：切换用户成功
08.18 22:31:20.519 | 信息 - 自选股：切换用户成功
08.21 09:27:39.794 | 信息 - 自选股：切换用户成功
08.22 09:21:16.011 | 信息 - 自选股：切换用户成功
08.22 09:30:27.751 | 信息 - 自选股：切换用户成功
08.23 09:29:16.276 | 信息 - 自选股：切换用户成功
08.24 09:56:35.448 | 信息 - 自选股：切换用户成功
08.25 09:37:58.134 | 信息 - 自选股：切换用户成功
08.28 09:32:16.719 | 信息 - 自选股：切换用户成功
08.28 20:02:51.608 | 信息 - 自选股：切换用户成功
08.28 20:05:05.360 | 信息 - 自选股：切换用户成功
08.28 21:53:53.157 | 信息 - 自选股：切换用户成功
08.29 11:03:04.848 | 信息 - 自选股：切换用户成功
